m rec h chrm s f pfix mtfix pkeep fstall fstcb meangen_p1all meangen_p2all meangen_p1cb meangen_2cb
0.00034 2.5e-07 0.01 D 0.0067 0.001 1 NA 0.004 0.0028612137693874 NA 0.002412840023155 0.0006341166802 0.5816441689875 0.0938475038125
0.00034 2.5e-07 0.01 H 0.0067 0.001 2 NA 0.004 0.00300828574491236 NA 0.00219758328724 0.00047504330314 0.520992491495 0.08743999371625
0.00034 2.5e-07 0.01 D 0.0067 0.01 9 1289.13043478261 0.039 0.0222265952419455 0.56349088401667 0.021124773302935 0.00709078345578 0.486497947556282 0.0910247024008974
0.00034 2.5e-07 0.01 H 0.0067 0.01 33 1224.55882352941 0.08 0.0548230653373663 0.685208645254824 0.04909456994909 0.00666740643253 0.588031707654687 0.065753455765875
0.00034 2.5e-07 0.01 D 0.0067 0.1 78 1261.09848484848 0.417 0.233097886394168 0.557100028875003 0.25436805376743 0.071017623259325 0.573947211316415 0.128910574980959
0.00034 2.5e-07 0.01 H 0.0067 0.1 211 1082.59962049336 0.594 0.41239746048428 0.694271818997104 0.400406586106485 0.05444149015255 0.661361502997214 0.0796166330198569
0.00034 2.5e-07 0.01 D 0.0067 0.5 210 1057.17880794702 0.984 0.586776456725679 0.596061002387937 0.8465781537021 0.252808587600175 0.857711433256651 0.254349157421829
0.00034 2.5e-07 0.01 H 0.0067 0.5 408 847.993664202746 0.997 0.708692405142797 0.710824879782143 0.87981951637247 0.179715607450035 0.88221680679993 0.179943113470958
0.00034 2.5e-07 0.5 D 0.0067 0.001 3 NA 0.00700000000000001 0.00515608449676451 NA 0.004633053408625 0.00045592334933 0.6507652487 0.0531557153457143
0.00034 2.5e-07 0.5 H 0.0067 0.001 1 NA 0.00900000000000001 0.00528183266025681 NA 0.00486428341573 0.00047514665508 0.52688778505 0.0356677763944444
0.00034 2.5e-07 0.5 D 0.0067 0.01 24 1380.67796610169 0.095 0.0576897170280601 0.607260179242738 0.04980626980453 0.00562607669683 0.501719963119947 0.0446132282535789
0.00034 2.5e-07 0.5 H 0.0067 0.01 51 1215.88235294118 0.115 0.0840576697418436 0.730936258624727 0.071544203091675 0.00619539344456 0.611103650163261 0.046134754665
0.00034 2.5e-07 0.5 D 0.0067 0.1 178 1226.16379310345 0.632 0.393753134181536 0.623027111046733 0.388861004142935 0.050373800472965 0.376700201328101 0.0486051375326424
0.00034 2.5e-07 0.5 H 0.0067 0.1 299 1079.50598802395 0.728 0.524525708275515 0.7205023465323 0.49415877578519 0.045969163690665 0.485824504642047 0.0448951513738668
0.00034 2.5e-07 0.5 D 0.0067 0.5 291 1020.75934579439 0.998 0.647969942913561 0.649268479873307 0.811949266156385 0.184945010110935 0.811954164460306 0.185091660088337
0.00034 2.5e-07 0.5 H 0.0067 0.5 425 837.226804123711 0.998 0.723939100317334 0.725389880077489 0.854775224353255 0.148540950339275 0.854910478700656 0.148579105213196
0.00034 2.5e-07 0.01 D 0.01333 0.001 0 NA 0.004 0.00300989537686472 NA 0.00297458332972 0.00046688332621 0.7206024977375 0.07681500209
0.00034 2.5e-07 0.01 H 0.01333 0.001 4 NA 0.00700000000000001 0.00567871730663788 NA 0.00455495007035 0.00043600667831 0.636330008987143 0.0528071448621429
0.00034 2.5e-07 0.01 D 0.01333 0.01 21 965.581395348837 0.05 0.0346925586227562 0.693505292495816 0.032920726868045 0.00633292667051 0.6262002703736 0.0839859338359
0.00034 2.5e-07 0.01 H 0.01333 0.01 93 778.676470588235 0.137 0.113788889236264 0.830575833841341 0.10066406654328 0.006681183427235 0.729386373996204 0.0432608280342336
0.00034 2.5e-07 0.01 D 0.01333 0.1 222 888.198380566802 0.521 0.37718641321113 0.723768516723454 0.38360387952791 0.06501439381996 0.722138860324741 0.104506335010019
0.00034 2.5e-07 0.01 H 0.01333 0.1 584 643.312655086849 0.806 0.674212922570445 0.836492459764819 0.64723520916584 0.04806608004993 0.800567331435074 0.0575488792959181
0.00034 2.5e-07 0.01 D 0.01333 0.5 386 676.912065439673 0.999 0.724522272344494 0.725247519864359 0.933819240630185 0.178905594210985 0.934655349314314 0.179057688560856
0.00034 2.5e-07 0.01 H 0.01333 0.5 733 432.082082082082 0.999 0.837605112261543 0.838443555817361 0.93944723555735 0.10596666650878 0.940263328873874 0.106028591766246
0.00034 2.5e-07 0.5 D 0.01333 0.001 7 1027.69230769231 0.013 0.0103692191739238 0.797632244147984 0.00872824330557 0.0005062599932 0.669036664296154 0.0345515379823077
0.00034 2.5e-07 0.5 H 0.01333 0.001 13 855.882352941176 0.017 0.0142250862361578 0.836769778597519 0.0121874066879 0.000481143362075 0.712011766238235 0.0253805900064706
0.00034 2.5e-07 0.5 D 0.01333 0.01 130 943.264248704663 0.193 0.157983050039435 0.818565026111061 0.134039630368475 0.00688262995984 0.690100278132668 0.0326476681793523
0.00034 2.5e-07 0.5 H 0.01333 0.01 164 680.660377358491 0.212 0.180947866874658 0.853527673937067 0.16306114353216 0.006609616715755 0.766736698847099 0.0293601575188443
0.00034 2.5e-07 0.5 D 0.01333 0.1 580 801.912442396313 0.872 0.713623918955193 0.818376053847699 0.66284250327108 0.04112611044426 0.661552075633022 0.0411309064997362
0.00034 2.5e-07 0.5 H 0.01333 0.1 739 596.31974248927 0.932 0.79758959870763 0.855782831231363 0.76148013242285 0.034765480227125 0.757355553281384 0.0345260016135944
0.00034 2.5e-07 0.5 D 0.01333 0.5 634 541.99 1 0.8092495833448 0.8092495833448 0.900272711265 0.098944330254575 0.900272711265 0.098944330254575
0.00034 2.5e-07 0.5 H 0.01333 0.5 797 389.44 1 0.8543711775297 0.8543711775297 0.924463536825 0.076120723758245 0.924463536825 0.076120723758245
0.00034 2.5e-07 0.01 D 0.02667 0.001 5 NA 0.00600000000000001 0.0050917677112361 NA 0.00489388330993 0.000448893301305 0.809113884908333 0.0606544390241667
0.00034 2.5e-07 0.01 H 0.02667 0.001 15 462.352941176471 0.017 0.0154277792851782 0.907516428539892 0.01408411328783 0.00053504335276 0.826306467620588 0.0298327461129412
0.00034 2.5e-07 0.01 D 0.02667 0.01 37 673.714285714286 0.073 0.0573747957338206 0.785956105942748 0.053611740236355 0.005939449907415 0.717618084548836 0.0593646566718493
0.00034 2.5e-07 0.01 H 0.02667 0.01 227 429.831932773109 0.238 0.215639508806733 0.906048356330812 0.20066369971133 0.00694083333173 0.841579214470924 0.0276436414268277
0.00034 2.5e-07 0.01 D 0.02667 0.1 414 546.354009077156 0.663 0.540680086086581 0.815403534036683 0.549213378375115 0.06066144371745 0.823415190937934 0.0834195581699623
0.00034 2.5e-07 0.01 H 0.02667 0.1 903 321.22641509434 0.954 0.870731270236012 0.912716216180306 0.85443960846088 0.033313713616655 0.895417266021174 0.0346817158727725
0.00034 2.5e-07 0.01 D 0.02667 0.5 615 355.3 1 0.813037052642323 0.813037052642323 0.96810843128 0.119554356734305 0.96810843128 0.119554356734305
0.00034 2.5e-07 0.01 H 0.02667 0.5 944 207.23 1 0.910024472228482 0.910024472228482 0.970424873395 0.05753119341443 0.970424873395 0.05753119341443
