chr h m sr s r f t window pi_pop1 pi_pop2 dxy fst fst0.025 fst0.05 fst0.10 fst0.25 fst0.5 fst0.75 fst0.90 fst0.95 fst0.975
A 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 1e+05 1.09259896729776 3.90403431909456 12.3745230923695 0.787325183569665 0.588817987982167 0.614725456535801 0.655116065037325 0.725054130433104 0.798257800950579 0.85687437030148 0.90319238958075 0.925755871238105 0.942930838121502
A 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 50000 0.567039586919105 2.04457831325301 7.5109437751004 0.816776739179247 0.606943898053077 0.64237303015671 0.688283297368399 0.758129482692907 0.825378787878788 0.889796307910452 0.934115642811295 0.953143772527032 0.963090971813723
A 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 25000 0.348709122203098 1.20921869295363 5.26691767068273 0.847583432643949 0.64094384850981 0.674166374166374 0.720866165413534 0.785809001657529 0.858992928346255 0.923202545957037 0.96 0.97706493579563 1
A 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 10000 0.231755593803787 0.802464403066813 4.16395582329317 0.874637418026648 0.673888873731311 0.714066442032544 0.757484620642515 0.818181818181818 0.885714285714286 0.942923553719008 0.986301369863014 1 1
X 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 1e+05 1.07289873780838 3.86932578800049 12.1503514056225 0.785897098322796 0.590095331163307 0.616846122393349 0.659036020132699 0.719958100080892 0.792036910457963 0.861031989032667 0.902261063915199 0.922590863997114 0.93753449347855
X 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 50000 0.563862593230063 2.02263599853961 7.30873493975904 0.813786315150653 0.600074925074925 0.625464753809358 0.677263708513709 0.748653390477917 0.82649947753396 0.888039103753389 0.934130094043887 0.955255740229834 0.966784221525601
X 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 25000 0.341831612162937 1.21029572836802 5.1986905957162 0.847224986029319 0.638613208758966 0.675004008337342 0.712024203620842 0.786767364319287 0.861097295139848 0.919407008086253 0.958243145743146 0.979591836734694 1
X 0.01 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 10000 0.220489099254159 0.801858950955336 4.06402694109772 0.875093544779508 0.674698550331933 0.713510484787081 0.751142376142376 0.818181818181818 0.888501742160279 0.941176470588235 0.979591836734694 1 1
A 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 1e+05 1.10431577440595 3.91760794315904 12.4580410821643 0.785415291889058 0.590834892328255 0.607376657971074 0.652623372337941 0.72264904590486 0.795440860509354 0.859195203505131 0.899354446722868 0.922764641019358 0.942710205181877
A 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 50000 0.569496135127398 2.04666909576729 7.48409318637275 0.814102192510879 0.616337113271075 0.641976950976951 0.679083750894774 0.752168050528706 0.821695938308152 0.888587652396593 0.930637900746596 0.953586328113162 0.968963907761243
A 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 25000 0.354566275407959 1.20642800753021 5.26993570474282 0.845064356487038 0.648452611218569 0.690166479372545 0.725954812706759 0.783066284364986 0.856902762858876 0.914703215098472 0.957565931889572 0.976273532668881 0.994108280254777
A 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 10000 0.238405382192957 0.806598044573996 4.20200818303273 0.873428851607502 0.697224523516398 0.726969696969697 0.758651348651349 0.815524193548387 0.886325688889469 0.941176470588235 0.978723404255319 1 1
X 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 1e+05 1.05403757888698 3.93787270293294 12.2513386880857 0.785909030028957 0.582935482488341 0.609751900638352 0.654731776475662 0.722912583599607 0.797863985889196 0.85831150642075 0.901927744679144 0.919395334239983 0.938642989663398
X 0.5 3.65e-4 0.3 0.3046 1.05e-6 0.1 1549 50000 0.551097246127367 2.05955640744797 7.37242720883534 0.814435525472534 0.606940291352702 0.640699073420943 0.684696896818109 0.749954041471589 0.821881349942575 0.888336059614686 0.931294144452039 0.953641728775341 0.966692789968652
